,track_name,artist_uri,artist_name,genre,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mood
spotify:track:4MukZU7Qk8AJQdGAjetjs7,F***Umean (feat. Indigochildrick),spotify:artist:7KduBCxhfAMiQlhMOHL3IZ,Robb Bank$,dark trap,53,151771,0.934,0.548,4,-6.976,0,0.262,0.00801,0.0,0.314,0.164,119.961,4,angry
spotify:track:4bgXEwLBvgVywxVlfaEpEm,Like A Soccer Mom,spotify:artist:2rhFzFmezpnW82MNqEKVry,Ski Mask The Slump God,miami hip hop,80,3794788,0.78,0.654,10,-7.641,0,0.076,0.112,0.0,0.12,0.713,140.007,4,angry
spotify:track:1xfFPJdRjgDAaMcDgbXwyh,STAR,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,boy band,76,1662603,0.776,0.388,0,-9.143,1,0.282,0.147,0.0,0.394,0.294,75.01,4,angry
spotify:track:4A1qb8RS7awYUVmP0syheX,Ilovewhitebitches!,spotify:artist:6lKzMgABT0H4V1x4h6Iuni,Samron Agnew,na,20,1611,0.845,0.715,0,-5.851,1,0.0324,0.000292,0.00617,0.39,0.868,111.056,4,angry
spotify:track:4SCQD1e4ULyNyAXvmlZDNk,Drank Head,spotify:artist:15iVAtD3s3FsQR4w1v6M0P,Chief Keef,chicago drill,76,2481915,0.752,0.429,4,-10.746,1,0.18,0.546,0.0,0.177,0.671,115.091,4,angry
spotify:track:3yk7PJnryiJ8mAPqsrujzf,Location,spotify:artist:699OTQXzgjhIYAHMy9RyPD,Playboi Carti,atl hip hop,87,4265681,0.717,0.79,11,-4.213,1,0.2,0.33,0.000125,0.518,0.371,125.985,4,angry
spotify:track:6sVzBgMyV7AmZ3BsDQsRLB,I Got Top in Bikini Bottom (feat. Kg Smokey),spotify:artist:0qpRQJnULShIWFKhcW5pce,Joey Trap,dark trap,60,519881,0.85,0.714,8,-4.331,0,0.268,0.164,0.0,0.11,0.549,145.909,4,angry
spotify:track:2hLhiONy3FcndFJc2CiC2e,Squidwards Nose (feat. Kg Prince),spotify:artist:0qpRQJnULShIWFKhcW5pce,Joey Trap,dark trap,60,519881,0.634,0.88,1,-1.714,1,0.293,0.169,0.0,0.474,0.548,150.959,4,angry
spotify:track:1kOJROWpOczLGn78FCAxOb,RocketShip Freestyle,spotify:artist:0qpRQJnULShIWFKhcW5pce,Joey Trap,dark trap,60,519881,0.86,0.588,9,-7.971,1,0.258,0.0726,0.0,0.371,0.241,128.959,4,angry
spotify:track:32R92wLWPBtSW0HgSJE1Qv,So Thick (feat. Joey Trap),spotify:artist:0qpRQJnULShIWFKhcW5pce,Joey Trap,dark trap,60,519881,0.926,0.519,5,-6.5,0,0.0901,0.523,0.0,0.103,0.565,129.958,4,angry
spotify:track:0gD6lWJhbXHWNVwQziSVvl,Plug Walk,spotify:artist:1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,atl hip hop,78,2440481,0.882,0.503,11,-6.618,1,0.179,0.224,0.0,0.108,0.176,95.011,4,angry
spotify:track:4mKXzcEHhm4TAPz9FpN66Z,King Cobra (Drippin'),spotify:artist:1VPmR4DJC1PlOtd0IADAO0,$uicideBoy$,dark trap,84,2845876,0.876,0.653,1,-5.329,1,0.0778,0.00149,0.0,0.0944,0.128,127.927,3,angry
spotify:track:0R01L2PrvabbllwxJYZyfd,Flo Rida,spotify:artist:07ZhipyrvoyNoJejeyM0PQ,Higher Brothers,chinese hip hop,63,211871,0.9,0.649,5,-3.79,1,0.269,0.109,0.0,0.0825,0.442,129.985,4,angry
spotify:track:2fQrGHiQOvpL9UgPvtYy6G,Bank Account,spotify:artist:1URnnhqYAYcrqrcwql10ft,21 Savage,atl hip hop,87,8938080,0.884,0.346,8,-8.228,0,0.351,0.0151,7.04e-06,0.0871,0.376,75.016,4,angry
spotify:track:3NSgQjYihV40pOmn8AQevz,Antarctica,spotify:artist:1VPmR4DJC1PlOtd0IADAO0,$uicideBoy$,dark trap,84,2845876,0.726,0.634,2,-6.844,1,0.0792,0.553,4.43e-06,0.0916,0.318,105.975,5,angry
spotify:track:3bNCifwGPjqeeqzpjrFG9k,Magazine,spotify:artist:1VPmR4DJC1PlOtd0IADAO0,$uicideBoy$,dark trap,84,2845876,0.881,0.903,8,-0.955,1,0.0813,0.267,0.00253,0.109,0.272,119.994,4,angry
spotify:track:6ls5ulRydoPE7oWGPGBqFA,Lonely,spotify:artist:0z4gvV4rjIZ9wHck67ucSV,Akon,dance pop,81,2559563,0.633,0.529,5,-7.85,0,0.0339,0.307,0.0,0.342,0.578,90.08,4,angry
spotify:track:5fDj1YVNR04RtQNP4iYapO,No Love,spotify:artist:5RADpgYLOuS2ZxDq7ggYYH,Death Grips,alternative hip hop,62,534733,0.547,0.884,8,-1.452,1,0.366,0.0221,1.33e-06,0.0662,0.608,146.75,3,angry
