,track_uri,track_name,mood,artist_uri,artist_name,genre,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
spotify:track:03ZkvqZOANKndGXfAAPywG,spotify:track:03ZkvqZOANKndGXfAAPywG,Drown,sad,spotify:artist:2Tglaf8nvDzwSQnpSrjLHP,Cuco,bedroom pop,73,1316522,0.674,0.615,0,-8.188,1,0.147,0.455,0.00091,0.208,0.756,85.048,4
spotify:track:2gxmsfDRXLUthwn2838Ihc,spotify:track:2gxmsfDRXLUthwn2838Ihc,Tongue of Yours,sad,spotify:artist:4KZ6DRKvzjGO88WvxP9c5Y,Ryan Egan,vapor soul,22,1163,0.795,0.364,0,-9.295,1,0.0477,0.666,0.043,0.107,0.16,103.048,4
spotify:track:0MRGc7t0cM9mLlQlfM7LFI,spotify:track:0MRGc7t0cM9mLlQlfM7LFI,sex money feelings die - Recorded at Spotify Studios Stockholm,sad,spotify:artist:6oBm8HB0yfrIc9IHbxs6in,Lykke Li,art pop,71,1431650,0.689,0.244,8,-10.255,0,0.04,0.802,0.00133,0.0912,0.226,127.956,4
spotify:track:3JBB92odunFru2gOvI91x9,spotify:track:3JBB92odunFru2gOvI91x9,Don't Wanna Be Your Girl,sad,spotify:artist:2i9uaNzfUtuApAjEf1omV8,Wet,brooklyn indie,57,223483,0.62,0.193,0,-13.404,1,0.0439,0.638,0.0136,0.107,0.155,129.979,4
spotify:track:3RO8tQsiLI0cJFcWGTUZKk,spotify:track:3RO8tQsiLI0cJFcWGTUZKk,im closing my eyes (feat. shiloh),sad,spotify:artist:5XE0fiZWGbq9TcSuWwJ1fA,potsu,japanese chillhop,67,223360,0.895,0.109,0,-13.853,0,0.0996,0.534,0.549,0.106,0.546,134.067,4
spotify:track:0eAyxd55tFCS1o5UlaBsGG,spotify:track:0eAyxd55tFCS1o5UlaBsGG,Capsize,sad,spotify:artist:1ti0u37FfK0AO8cM2n7Ncr,Iris Temple,alternative r&b,39,18612,0.474,0.549,0,-8.92,0,0.0684,0.587,0.00598,0.0849,0.436,84.879,4
spotify:track:54eysgcvVQrqLjioj4NYxj,spotify:track:54eysgcvVQrqLjioj4NYxj,To Be You,sad,spotify:artist:20PdOyVym0ZZrOB1rfcvCR,Spencer.,alternative r&b,45,27563,0.603,0.617,11,-6.89,0,0.0709,0.177,0.468,0.188,0.229,136.066,4
spotify:track:6RiTkSaOOmFeafQMXeMkVr,spotify:track:6RiTkSaOOmFeafQMXeMkVr,DEEPER - prod. BIRTHDAY BOY,sad,spotify:artist:00jACgDWIBdPM4eH8nORwz,Reva DeVito,portland hip hop,40,5421,0.551,0.369,2,-11.291,0,0.487,0.286,1.99e-06,0.0835,0.297,95.309,4
spotify:track:6xvBfRyRHKT528aZUdAQg8,spotify:track:6xvBfRyRHKT528aZUdAQg8,Actor,sad,spotify:artist:5aNJpeK3hUdPY9orfExdOF,Ayelle,alternative r&b,51,20120,0.907,0.35,4,-11.106,0,0.131,0.16,7.69e-06,0.367,0.377,128.02,4
spotify:track:2YYjP4oIs1iVlzHb5rXgUC,spotify:track:2YYjP4oIs1iVlzHb5rXgUC,Chilly,sad,spotify:artist:2kxP07DLgs4xlWz8YHlvfh,NIKI,indonesian r&b,74,669245,0.734,0.271,7,-11.932,1,0.382,0.617,5.27e-06,0.101,0.237,103.241,3
spotify:track:1uverlfbbG8InEPioAwB8y,spotify:track:1uverlfbbG8InEPioAwB8y,Feel,sad,spotify:artist:2ICR2m4hOBPhaYiZB3rnLW,Sonder,alternative r&b,59,186872,0.455,0.255,6,-14.512,0,0.0377,0.525,0.00176,0.382,0.195,131.959,4
spotify:track:2Yi7Bh4OFdRfgzWptNR8Ob,spotify:track:2Yi7Bh4OFdRfgzWptNR8Ob,Lies We Told,sad,spotify:artist:5I6WLC9Auo6aeTRHPQbdOv,Fallen Roses,lo-fi cover,57,8830,0.762,0.18,3,-18.287,1,0.0499,0.845,0.927,0.0779,0.17,101.809,4
spotify:track:25WjFnIHSS5ZTYxyjJSeuD,spotify:track:25WjFnIHSS5ZTYxyjJSeuD,Rose Dr,sad,spotify:artist:5KnnO1gTaru3vtpr8cn8Im,Through & Through,lo-fi beats,43,12182,0.786,0.423,8,-11.602,0,0.119,0.0236,0.892,0.113,0.332,93.032,4
spotify:track:4NWU5mY1wrqz7Az6dQxSCL,spotify:track:4NWU5mY1wrqz7Az6dQxSCL,Stay,sad,spotify:artist:4v1T0ugfCMOAf3sWh46DzU,Many Faces,na,16,575,0.671,0.513,9,-7.825,0,0.0487,0.734,0.0322,0.0788,0.435,136.028,4
spotify:track:7ISlkfmgkiWeQy2Bbl48S7,spotify:track:7ISlkfmgkiWeQy2Bbl48S7,blame,sad,spotify:artist:7flbszy9aVOQeWiV4MomSB,loftii,na,37,2711,0.545,0.481,4,-10.492,0,0.915,0.821,0.00136,0.112,0.669,80.382,4
spotify:track:6yjWFs3G6xUmKUIQuqKjzF,spotify:track:6yjWFs3G6xUmKUIQuqKjzF,To Stay,sad,spotify:artist:154VcEZOcsvkIGkkcpI9Sv,Trodd,na,17,2477,0.342,0.142,5,-14.618,1,0.0349,0.907,0.00123,0.0878,0.0429,62.978,4
spotify:track:0uBpy6SFhl1oYiAEqzeHQE,spotify:track:0uBpy6SFhl1oYiAEqzeHQE,"Out My Way/ Around You (feat. Marr Grey, RELLA, July 7 & Devin Tracy)",sad,spotify:artist:7e3FtKBIPLrIVm8g1FJMVg,Sango,abstract beats,56,154091,0.6,0.638,8,-6.541,0,0.293,0.226,1.02e-06,0.112,0.372,106.178,4
spotify:track:7ydeKIGuAdxqkp7OsWGZx6,spotify:track:7ydeKIGuAdxqkp7OsWGZx6,We Can't Be Friends,sad,spotify:artist:0tWnElR8nnWIsopg1o3xmg,Dream Koala,indie dream pop,46,54782,0.576,0.283,2,-13.004,1,0.039,0.897,0.892,0.0841,0.252,119.277,4
spotify:track:2RYWlWjxF79DjFfGvuYp2S,spotify:track:2RYWlWjxF79DjFfGvuYp2S,Tired,sad,spotify:artist:13VunSzrVSmJBpUWxUajJF,Limbo,indie pop,59,102842,0.468,0.35,1,-11.073,0,0.178,0.862,0.000527,0.145,0.124,83.221,4
spotify:track:4nkg2Cs65ccVr5L3ychcmu,spotify:track:4nkg2Cs65ccVr5L3ychcmu,No Longer Lovers,sad,spotify:artist:1faxe25Wp3Nk43xVVxsdSB,Billy Davis,australian r&b,36,7490,0.754,0.43,11,-8.735,0,0.282,0.331,0.00161,0.0704,0.403,105.069,4
spotify:track:7tN7C0j0L7GvDzKwLucLHl,spotify:track:7tN7C0j0L7GvDzKwLucLHl,Best for You,sad,spotify:artist:5KbEFz293OMDqqk9ajZKZV,vbnd,vapor twitch,45,28383,0.72,0.412,4,-12.951,0,0.0605,0.559,0.0125,0.11,0.35,115.016,4
spotify:track:5eSxmqHs3fn08rPGUWN1X1,spotify:track:5eSxmqHs3fn08rPGUWN1X1,Slow Things Down,sad,spotify:artist:6gzITPJM4n9i5DPaTbPiel,Different Sleep,gauze pop,25,3516,0.538,0.335,4,-19.997,1,0.0595,0.917,0.901,0.0857,0.0563,118.097,4
spotify:track:6jvcKJfBz0nCuQyUcVRiup,spotify:track:6jvcKJfBz0nCuQyUcVRiup,Guilty Pleasures,sad,spotify:artist:5I6WLC9Auo6aeTRHPQbdOv,Fallen Roses,lo-fi cover,57,8830,0.635,0.497,8,-9.991,1,0.0339,0.874,0.824,0.192,0.125,129.991,4
spotify:track:20qGVwNu6h5kQ6RjNCro8v,spotify:track:20qGVwNu6h5kQ6RjNCro8v,Take It Back (feat. Sophie Meiers),sad,spotify:artist:3LEkYDqcuLLCQXOu9BI5gw,A D M B,chillhop,29,2695,0.576,0.308,4,-8.541,0,0.13,0.797,3.04e-05,0.423,0.357,83.461,4
spotify:track:2M0ZCiROFuno66ZiaRNwGq,spotify:track:2M0ZCiROFuno66ZiaRNwGq,love (left),sad,spotify:artist:5b0XQwyoJBFd3MwL2YxEPO,Nohidea,chillhop,64,77662,0.434,0.448,10,-5.833,0,0.057,0.873,0.919,0.102,0.433,78.921,4
spotify:track:4FMAXCbwoTlU0lglpAPMyw,spotify:track:4FMAXCbwoTlU0lglpAPMyw,I don’t blame you,sad,spotify:artist:6dJ1iY51ZgNt93gelvdF3k,Vague003,boston hip hop,44,24960,0.681,0.401,11,-7.245,0,0.0437,0.251,0.543,0.179,0.548,160.102,4
spotify:track:5SfzC9DSgtMqx4t99yvsul,spotify:track:5SfzC9DSgtMqx4t99yvsul,IDR,sad,spotify:artist:2qDIR2WlcW3llkGqJWg9VJ,Lolo Zouaï,electropop,55,132453,0.688,0.516,7,-7.014,0,0.0299,0.115,2.87e-06,0.117,0.143,109.979,4
spotify:track:2pYvd6cHcAIMAM6xMD6nok,spotify:track:2pYvd6cHcAIMAM6xMD6nok,Break Apart,sad,spotify:artist:0cmWgDlu9CwTgxPhf403hb,Bonobo,downtempo,67,1088827,0.648,0.458,5,-15.169,1,0.0311,0.864,0.0944,0.366,0.0848,119.96,4
spotify:track:3FhB5NJbOoOYht19R2T3Es,spotify:track:3FhB5NJbOoOYht19R2T3Es,Peach,sad,spotify:artist:6My0aHQrZyz0vqqcf06s1D,Shrimpnose,lo-fi beats,41,2275,0.384,0.473,0,-12.735,1,0.286,0.892,0.584,0.114,0.255,119.985,4
spotify:track:2wfLKv88CYFxcSwos3AXK2,spotify:track:2wfLKv88CYFxcSwos3AXK2,missed calls pt. 1,sad,spotify:artist:21Aa8MX3PsrO03NgH3TZGy,frumhere,lo-fi beats,53,21530,0.717,0.211,1,-15.842,1,0.377,0.639,0.00763,0.262,0.193,86.793,4
spotify:track:5nS2tlf35lQRshjTgvEwk7,spotify:track:5nS2tlf35lQRshjTgvEwk7,If This Is Love,sad,spotify:artist:3UjPnt2nRmw10N58bBeNOg,Xavier Omär,alternative r&b,61,250821,0.744,0.472,7,-9.773,0,0.111,0.224,0.000215,0.239,0.281,104.058,4
spotify:track:5UvCuXnZOhIgn5qSLlHJVb,spotify:track:5UvCuXnZOhIgn5qSLlHJVb,B5 [untitled] but i loved you,sad,spotify:artist:3m1IaEwT7D9hFKOfpz5VHk,[bsd.u],chillhop,57,82790,0.615,0.303,0,-13.321,1,0.066,0.719,0.516,0.152,0.374,114.985,4
spotify:track:1uP8UVMXcTJn28TbhfR2Wo,spotify:track:1uP8UVMXcTJn28TbhfR2Wo,Paul,sad,spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,art pop,62,282330,0.483,0.263,11,-11.541,1,0.0401,0.199,0.000306,0.109,0.166,123.453,4
spotify:track:2AF5Kzxb4pz7j79Ity84pP,spotify:track:2AF5Kzxb4pz7j79Ity84pP,Night Shift,sad,spotify:artist:07D1Bjaof0NFlU32KXiqUP,Lucy Dacus,art pop,61,135722,0.48,0.31,9,-7.887,1,0.0258,0.312,1.47e-05,0.113,0.16,86.149,4
spotify:track:172rW45GEnGoJUuWfm1drt,spotify:track:172rW45GEnGoJUuWfm1drt,Your Best American Girl,sad,spotify:artist:2uYWxilOVlUdk4oV9DvwqK,Mitski,art pop,72,443011,0.36,0.257,7,-9.655,1,0.0315,0.0159,0.00512,0.226,0.13,76.972,4
spotify:track:1187w3EfxkIOeh4nqvy2sm,spotify:track:1187w3EfxkIOeh4nqvy2sm,New York,sad,spotify:artist:7bcbShaqKdcyjnmv4Ix8j6,St. Vincent,art pop,66,618180,0.444,0.463,10,-11.639,1,0.119,0.868,2.46e-05,0.184,0.369,138.007,4
spotify:track:6Rt6KwuF7I8ZkdZG2G0bYr,spotify:track:6Rt6KwuF7I8ZkdZG2G0bYr,The Only Thing,sad,spotify:artist:4MXUO7sVCaFgFjoTI5ox5c,Sufjan Stevens,baroque pop,74,1222027,0.519,0.145,3,-19.581,1,0.0392,0.987,0.0643,0.108,0.487,158.975,4
spotify:track:5qZVuornKKdSdsHPnsJjWT,spotify:track:5qZVuornKKdSdsHPnsJjWT,You're Smiling (But I Don't Believe You),sad,spotify:artist:13YVfXddjRIUrubItJjadb,Margaret Glaspy,indie pop,43,53000,0.432,0.0993,0,-14.688,1,0.0459,0.981,0.0287,0.132,0.155,81.436,4
spotify:track:73DoUyxCAGBTzr5RFOEHXo,spotify:track:73DoUyxCAGBTzr5RFOEHXo,Younger Days,sad,spotify:artist:69tiO1fG8VWduDl3ji2qhI,Mt. Joy,indie folk,67,188581,0.542,0.327,9,-9.237,1,0.0289,0.549,0.0012,0.115,0.189,113.384,4
spotify:track:6ABQcgTtAPCUyMkVwdRNJo,spotify:track:6ABQcgTtAPCUyMkVwdRNJo,placeholder,sad,spotify:artist:5poU7FPEYoBlwjzOEWMbX5,Hand Habits,bedroom pop,43,29443,0.493,0.414,6,-9.372,0,0.0258,0.0319,0.00134,0.0878,0.426,133.65,4
spotify:track:1UDrjWvKvEuqeVVEBhbosm,spotify:track:1UDrjWvKvEuqeVVEBhbosm,I Went To The Store One Day,sad,spotify:artist:2kGBy2WHvF0VdZyqiVCkDT,Father John Misty,freak folk,64,584683,0.31,0.141,3,-17.136,1,0.0401,0.782,2.44e-05,0.115,0.237,147.577,4
spotify:track:2JiVVU7qv1YeD1yabpIyoX,spotify:track:2JiVVU7qv1YeD1yabpIyoX,Riding For The Feeling,sad,spotify:artist:7gqsi6aBSkRMJoL9psKqMr,Bill Callahan,alternative country,55,107026,0.442,0.213,0,-15.002,1,0.047,0.903,0.0124,0.252,0.275,100.544,4
spotify:track:61E4DgklZb36Oxn8el9NNy,spotify:track:61E4DgklZb36Oxn8el9NNy,"You Needed Love, I Needed You",sad,spotify:artist:0W79ONUwHoehEib1nRXlmi,Angelo De Augustine,chamber pop,53,39219,0.54,0.18,2,-13.982,1,0.0422,0.928,0.00498,0.109,0.535,88.985,4
spotify:track:5ehjJZdDMVcbFcq5TWdlra,spotify:track:5ehjJZdDMVcbFcq5TWdlra,I Know,sad,spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL,Fiona Apple,art pop,66,738107,0.327,0.211,0,-14.223,1,0.0288,0.943,0.00317,0.118,0.2,146.369,3
spotify:track:1JPRgRUK044O15wgv8uZO1,spotify:track:1JPRgRUK044O15wgv8uZO1,Souvenir,sad,spotify:artist:12zbUHbPHL5DGuJtiUfsip,Julien Baker,ambient folk,60,208121,0.598,0.3,6,-11.044,0,0.0264,0.732,0.502,0.0946,0.167,109.034,4
spotify:track:0wZD8aSBhrjJk2PCbP5zeq,spotify:track:0wZD8aSBhrjJk2PCbP5zeq,Comfort,sad,spotify:artist:12fRkVfO2fUsz1QHgDAG3g,Julia Jacklin,art pop,58,147197,0.667,0.0421,5,-12.735,1,0.0343,0.898,0.0,0.109,0.219,99.911,3
spotify:track:4Q6Kuze3wNMQRjamyBjHUR,spotify:track:4Q6Kuze3wNMQRjamyBjHUR,Rivers and Roads,sad,spotify:artist:0n94vC3S9c3mb2HyNAOcjg,The Head and the Heart,folk-pop,69,876146,0.494,0.194,0,-8.965,1,0.0352,0.699,2.98e-05,0.0803,0.161,135.753,3
spotify:track:5jQ5iwHkqyk6HgxLOFdJo1,spotify:track:5jQ5iwHkqyk6HgxLOFdJo1,Thingamajig,sad,spotify:artist:1jFVu6Z7wmwywivOeBTSIV,Miya Folick,indie rock,45,41223,0.315,0.224,0,-11.94,1,0.0406,0.863,0.000377,0.109,0.0727,206.727,4
spotify:track:1uR8YDxSxeo8BkbR6MUdvg,spotify:track:1uR8YDxSxeo8BkbR6MUdvg,In The Aeroplane Over The Sea,sad,spotify:artist:5ByjU6oarxRC2Y85JpKx1n,Dan Mangan,canadian indie,47,52754,0.384,0.222,11,-13.388,0,0.0417,0.849,1.24e-05,0.0976,0.467,174.903,3
spotify:track:0YBApL73BbXpxEJKREFOUF,spotify:track:0YBApL73BbXpxEJKREFOUF,The Valley,sad,spotify:artist:1zkHConahaP6T8EBpg8BeE,Ethan Gruska,indie folk,46,12229,0.412,0.0953,10,-13.726,1,0.0696,0.964,1.09e-05,0.105,0.242,88.117,3
spotify:track:66uvTWhdKt5Ip7nIpcnzyz,spotify:track:66uvTWhdKt5Ip7nIpcnzyz,"Whoever You Love, I'm Cool",sad,spotify:artist:1Hgq78NaXI41PHyKKDEExF,JEFFE,australian alternative pop,25,2901,0.26,0.506,5,-9.304,1,0.0357,0.777,0.562,0.163,0.307,106.63,4
spotify:track:5lgZlTHsMbp1FiEseMhBDU,spotify:track:5lgZlTHsMbp1FiEseMhBDU,25 in Barcelona,sad,spotify:artist:66W9LaWS0DPdL7Sz8iYGYe,JP Saxe,canadian contemporary r&b,77,184243,0.574,0.458,7,-7.499,1,0.0577,0.888,0.000282,0.108,0.544,81.416,4
spotify:track:4PxzGOH79jcmmldKgoI9sB,spotify:track:4PxzGOH79jcmmldKgoI9sB,I Wish I Was the Moon,sad,spotify:artist:4Cedjq5BQL3MhapRvDpFED,Neko Case,alternative country,51,164686,0.271,0.31,0,-7.967,1,0.0309,0.725,1.99e-06,0.119,0.16,169.614,3
spotify:track:6bMtHFNzq1PU6HD7h8SUkd,spotify:track:6bMtHFNzq1PU6HD7h8SUkd,No Need To Argue,sad,spotify:artist:1ZBR8sri8ddYowXDENBwKS,Hannah Georgas,canadian indie,42,22683,0.546,0.425,0,-10.108,1,0.0267,0.355,0.0138,0.2,0.0833,99.849,4
spotify:track:71HEg3bYLyMAxHuJ3a6KIM,spotify:track:71HEg3bYLyMAxHuJ3a6KIM,I’ll Still Have Me,sad,spotify:artist:0lPhSdyfILTWuDUWJRyAk7,Cyn,electropop,54,73733,0.604,0.277,2,-8.249,1,0.0286,0.915,1.82e-05,0.113,0.22,82.922,4
spotify:track:7iSyaNhLcjwuO22QuRYHsM,spotify:track:7iSyaNhLcjwuO22QuRYHsM,"Lover, You Should've Come Over",sad,spotify:artist:3nnQpaTvKb5jCQabZefACI,Jeff Buckley,art rock,64,711492,0.388,0.609,2,-6.087,1,0.0402,0.385,4.31e-06,0.138,0.172,120.005,3
spotify:track:540qEz21gb3RWi8EYiJbX8,spotify:track:540qEz21gb3RWi8EYiJbX8,Dominos,sad,spotify:artist:3NBmfDV6Yh3hjuQUBVvYgO,Better Oblivion Community Center,indie pop,54,70479,0.598,0.514,11,-11.873,1,0.0346,0.129,1.18e-06,0.432,0.299,121.963,4
spotify:track:6bgoagsYAQaPn8vTP5uaJ1,spotify:track:6bgoagsYAQaPn8vTP5uaJ1,Joshua,sad,spotify:artist:0g3BS5QoR5r6pOAg1tvwXv,Dizzy,electropop,48,28313,0.653,0.432,3,-8.105,1,0.052,0.866,0.000393,0.101,0.176,104.969,4
spotify:track:4PMvRfhHAx5j6Bb3XsFLoq,spotify:track:4PMvRfhHAx5j6Bb3XsFLoq,Lua,sad,spotify:artist:5o206eFLx38glA2bb4zqIU,Bright Eyes,anti-folk,64,470873,0.603,0.124,2,-18.301,1,0.0827,0.802,3e-05,0.0565,0.317,104.902,3
spotify:track:34hjaSM3UGwZUJNav8Tehi,spotify:track:34hjaSM3UGwZUJNav8Tehi,I Told You Everything,sad,spotify:artist:2wJ4vsxWd7df7dRU4KcoDe,Sharon Van Etten,art pop,63,352005,0.498,0.28,0,-9.224,1,0.0331,0.605,0.00112,0.0792,0.112,72.494,4
spotify:track:5TVGGJZ1qxCBquTF2OUD3H,spotify:track:5TVGGJZ1qxCBquTF2OUD3H,Song To The Siren - Recorded at Spotify Studios London,sad,spotify:artist:3btzEQD6sugImIHPMRgkwV,Wolf Alice,indie rock,59,358688,0.372,0.15,2,-11.116,1,0.0294,0.963,0.0,0.124,0.0784,68.776,4
spotify:track:6BrMEbPSSj55nQhkgf6DnE,spotify:track:6BrMEbPSSj55nQhkgf6DnE,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",sad,spotify:artist:3yY2gUcIsjMr8hjo51PoJ8,The Smiths,dance rock,74,2444491,0.241,0.468,2,-9.579,1,0.0272,0.534,0.0,0.161,0.451,91.581,3
spotify:track:2nt61zastVO4H8XNFBtrED,spotify:track:2nt61zastVO4H8XNFBtrED,Ballad No. 3,sad,spotify:artist:3FhYulv2HI8so6GZy7AaU4,Airpark,nashville indie,32,1370,0.628,0.566,0,-7.72,1,0.0284,0.901,0.584,0.137,0.585,109.002,4
spotify:track:53AvjD9b3sEh5fg6Z7GANp,spotify:track:53AvjD9b3sEh5fg6Z7GANp,Thought It'd Be Easy,sad,spotify:artist:4Dj6yFk1Y4v6J4jZyhtrZ7,Emanuel,canadian contemporary r&b,51,9339,0.252,0.198,9,-8.712,1,0.031,0.874,0.0,0.0815,0.0689,174.08,4
spotify:track:4RLr8yJXuhJ6ZrIQkZ4JlA,spotify:track:4RLr8yJXuhJ6ZrIQkZ4JlA,Real Death,sad,spotify:artist:4Sw0SFu1fFdYXdAEVdrqnO,Mount Eerie,alternative rock,45,92141,0.562,0.187,9,-18.183,0,0.0442,0.676,0.00186,0.132,0.0913,75.965,4
spotify:track:5mHTg6cqhyP0BmsTQKzN1X,spotify:track:5mHTg6cqhyP0BmsTQKzN1X,Sprained Ankle,sad,spotify:artist:12zbUHbPHL5DGuJtiUfsip,Julien Baker,ambient folk,60,208121,0.343,0.174,2,-14.471,1,0.0359,0.807,0.47,0.113,0.195,96.884,4
spotify:track:0jX7GLf5pVGZpchy64sluA,spotify:track:0jX7GLf5pVGZpchy64sluA,Misty,sad,spotify:artist:0wyMPXGfOuQzNR54ujR9Ix,Caamp,indie folk,68,208919,0.597,0.402,10,-7.961,1,0.0272,0.715,0.00297,0.111,0.241,95.119,4
spotify:track:4z7LkcJsYe8AaZXI3TWOHT,spotify:track:4z7LkcJsYe8AaZXI3TWOHT,Love Will Tear Us Apart,sad,spotify:artist:2D0wm8aDnVrcljPwg2GM75,Odina,ambient folk,40,8515,0.375,0.217,3,-12.426,1,0.0344,0.951,0.000722,0.107,0.139,96.239,3
spotify:track:7IovFxqWV6RbT1ZB8IxZVr,spotify:track:7IovFxqWV6RbT1ZB8IxZVr,You Missed My Heart,sad,spotify:artist:1r1uxoy19fzMxunt3ONAkG,Phoebe Bridgers,indie pop,77,451104,0.434,0.114,0,-14.155,1,0.0425,0.963,1.55e-05,0.106,0.0799,73.504,4
spotify:track:5QQ7uBiclcWSecFk1IQr27,spotify:track:5QQ7uBiclcWSecFk1IQr27,One Last Wedding,sad,spotify:artist:3o1tKzbhMLOZzGlkeLz3No,Thad Kopec,na,22,1555,0.677,0.203,5,-14.137,1,0.0329,0.836,1.58e-06,0.107,0.26,95.871,4
spotify:track:4bzvHZRFCINQlYk7t84fi4,spotify:track:4bzvHZRFCINQlYk7t84fi4,"No Me, No You, No More",sad,spotify:artist:5G49Sq5mMzAkGL4ZP6eVPY,The Staves,chamber pop,59,167886,0.279,0.117,2,-11.95,1,0.0349,0.976,0.0,0.12,0.109,124.519,3
spotify:track:2jpaYrcduGAlHkFZwLobxN,spotify:track:2jpaYrcduGAlHkFZwLobxN,Seaweed,sad,spotify:artist:4Sw0SFu1fFdYXdAEVdrqnO,Mount Eerie,alternative rock,45,92141,0.581,0.101,4,-23.074,0,0.0435,0.872,0.548,0.111,0.19,94.643,4
spotify:track:2uTasYs7GtJ7lZCx5ttnwe,spotify:track:2uTasYs7GtJ7lZCx5ttnwe,When I Say You Are Killing Me,sad,spotify:artist:73avNAcHbfmgcSGEjKit9l,Ten Kills the Pack,na,36,2193,0.608,0.174,10,-14.149,0,0.0355,0.807,1.26e-05,0.115,0.287,115.409,3
spotify:track:2ilo3w0stilJKeQZS61FeN,spotify:track:2ilo3w0stilJKeQZS61FeN,Stay,sad,spotify:artist:6G7OerKc3eBO9sVkRNopFC,Cat Power,anti-folk,62,576755,0.308,0.155,0,-15.345,1,0.0599,0.976,0.000137,0.093,0.347,188.786,3
spotify:track:6qT5sKuHESoGYZlPd3wGoD,spotify:track:6qT5sKuHESoGYZlPd3wGoD,Uppers & Downers,sad,spotify:artist:4nBi4IodVoAeYbktZxzlJR,Gold Star,modern folk rock,22,3809,0.398,0.0855,9,-9.776,1,0.0415,0.814,0.0,0.0926,0.0897,89.812,4
spotify:track:0lw7ZyKNOPR1ilGfb76Quu,spotify:track:0lw7ZyKNOPR1ilGfb76Quu,I Just Don't Think I'll Ever Get Over You,sad,spotify:artist:5mxB08ktCukEhGMg2YZeEv,Colin Hay,neo mellow,49,75104,0.542,0.124,0,-19.375,1,0.0341,0.84,0.0878,0.101,0.264,79.258,4
spotify:track:4iSN72L6xCM7vQZR2I9Suz,spotify:track:4iSN72L6xCM7vQZR2I9Suz,Liability,sad,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,Lorde,art pop,79,6829520,0.587,0.229,10,-11.254,0,0.128,0.92,0.0,0.1,0.379,75.67,4
spotify:track:01ZpFhrMMqKPVCwyqXneVp,spotify:track:01ZpFhrMMqKPVCwyqXneVp,True Love Waits,sad,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,Radiohead,alternative rock,79,5708453,0.282,0.132,0,-15.569,1,0.0375,0.938,0.104,0.1,0.0379,136.186,4
spotify:track:4u3aErjHkwVqqdyfNDMyJ1,spotify:track:4u3aErjHkwVqqdyfNDMyJ1,I Know Places,sad,spotify:artist:6oBm8HB0yfrIc9IHbxs6in,Lykke Li,art pop,71,1431650,0.368,0.114,7,-14.043,0,0.0334,0.762,0.0145,0.0872,0.0488,102.061,4
spotify:track:6ocxCGYgcmZhCeTT1yuNkt,spotify:track:6ocxCGYgcmZhCeTT1yuNkt,I Gotta Find Peace of Mind - Live,sad,spotify:artist:2Mu5NfyYm8n5iTomuKAEHl,Ms. Lauryn Hill,conscious hip hop,70,1665395,0.495,0.505,7,-10.034,1,0.409,0.813,2.01e-06,0.117,0.657,173.612,4
spotify:track:5GcQBo4wPu0S09M7qDJzAi,spotify:track:5GcQBo4wPu0S09M7qDJzAi,Lost Cause,sad,spotify:artist:3vbKDsSS70ZX9D2OcvbZmS,Beck,alternative rock,70,1175046,0.611,0.577,0,-8.728,1,0.0297,0.261,0.000786,0.467,0.212,119.879,4
spotify:track:0tiQwGcxR0W5E7jLqbK3iA,spotify:track:0tiQwGcxR0W5E7jLqbK3iA,Fireworks - Recorded at Spotify Studios Stockholm,sad,spotify:artist:21egYD1eInY6bGFcniCRT1,First Aid Kit,indie folk,65,965250,0.256,0.258,8,-9.137,1,0.0322,0.228,1.15e-05,0.172,0.19,173.688,3
spotify:track:6NnRPEOUzhSfTg1asRG42B,spotify:track:6NnRPEOUzhSfTg1asRG42B,Making Pies,sad,spotify:artist:7tNLRmiAN8hpmFrbIHiHsy,Patty Griffin,acoustic pop,52,109746,0.502,0.279,0,-7.973,1,0.0318,0.61,0.0,0.166,0.404,118.438,4
spotify:track:4IdV6Dun39jOadZ6kRheQ5,spotify:track:4IdV6Dun39jOadZ6kRheQ5,Keep On Breaking My Heart,sad,spotify:artist:0pu9LAsUMg8nhMK1hmiM5b,Seramic,uk contemporary r&b,29,9003,0.505,0.267,9,-7.372,1,0.0386,0.793,0.0,0.154,0.236,127.769,4
spotify:track:2S1IUGeYOV3JPSoaheqIo9,spotify:track:2S1IUGeYOV3JPSoaheqIo9,Your Love is Killing Me,sad,spotify:artist:2wJ4vsxWd7df7dRU4KcoDe,Sharon Van Etten,art pop,63,352005,0.396,0.714,2,-6.271,1,0.0379,0.553,0.372,0.11,0.116,121.122,4
spotify:track:54OkZltlupE2xB0i0lAfzi,spotify:track:54OkZltlupE2xB0i0lAfzi,Nothing Compares 2 U,sad,spotify:artist:1mSJCvDX0W7Dn7S9C6vmvI,Anna of the North,electropop,66,151085,0.725,0.309,5,-9.144,1,0.0319,0.454,0.00027,0.0859,0.0399,119.974,4
