,track_uri,track_name,mood,artist_uri,artist_name,genre,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
spotify:track:2l8lcOcQYWk2o0yt1rlO34,spotify:track:2l8lcOcQYWk2o0yt1rlO34,eyelids,sad,spotify:artist:11I8qWK4foqycuPFRDFH6e,Paris Jackson,na,48,14569,0.319,0.187,8,-12.595,1,0.0316,0.806,0.00157,0.0915,0.0899,146.524,3
spotify:track:7KKamdf8oLVz1eFcNRjvnq,spotify:track:7KKamdf8oLVz1eFcNRjvnq,we'll be fine,sad,spotify:artist:3cdI6SvJ24KsOcvYyBwH9c,Luz,indie anthem-folk,55,20519,0.563,0.382,10,-11.138,1,0.0404,0.748,0.0,0.0714,0.197,120.802,4
spotify:track:1N0VH1ox2VN1u19j0HkIVP,spotify:track:1N0VH1ox2VN1u19j0HkIVP,Wish It Would Rain - Piano Version,sad,spotify:artist:2Sh4jX7pEUGGccmg4f7oKw,Londin Thompson,na,38,697,0.461,0.292,4,-9.718,1,0.0325,0.927,0.0,0.129,0.409,110.144,4
spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,sad,spotify:artist:4xnihxcoXWK3UqryOSnbw5,Sasha Sloan,electropop,77,700521,0.629,0.327,11,-8.285,1,0.029,0.761,2.96e-05,0.103,0.381,74.953,4
spotify:track:4nyF5lmSziBAt7ESAUjpbx,spotify:track:4nyF5lmSziBAt7ESAUjpbx,"I miss you, I’m sorry",sad,spotify:artist:4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,indie cafe pop,67,126964,0.445,0.455,7,-6.405,1,0.0575,0.731,1.47e-06,0.124,0.151,109.885,5
spotify:track:7rgjkzZBhBjObaYsvq8Ej0,spotify:track:7rgjkzZBhBjObaYsvq8Ej0,Lose,sad,spotify:artist:2kxP07DLgs4xlWz8YHlvfh,NIKI,indonesian r&b,74,669245,0.41,0.316,0,-8.13,1,0.029,0.846,0.0,0.124,0.22,133.288,4
spotify:track:45bE4HXI0AwGZXfZtMp8JR,spotify:track:45bE4HXI0AwGZXfZtMp8JR,you broke me first,sad,spotify:artist:45dkTj5sMRSjrmBSBeiHym,Tate McRae,dance pop,83,988555,0.642,0.374,4,-9.386,1,0.0545,0.786,0.0,0.0906,0.0799,124.099,4
spotify:track:3kywzyEr7V106Un5cDyh12,spotify:track:3kywzyEr7V106Un5cDyh12,Older,sad,spotify:artist:4xnihxcoXWK3UqryOSnbw5,Sasha Sloan,electropop,77,700521,0.628,0.298,11,-9.539,1,0.0713,0.732,0.0,0.116,0.166,63.762,4
spotify:track:06qUEhhx6jKQmhj2qAkn4H,spotify:track:06qUEhhx6jKQmhj2qAkn4H,Trying My Best,sad,spotify:artist:2jHp7gQArCQrlMvdrIVFCg,Anson Seabra,indie cafe pop,72,486408,0.561,0.0587,5,-17.819,1,0.0762,0.95,0.0,0.0828,0.342,143.027,1
spotify:track:49MMefftWPcltNP4OOJGSs,spotify:track:49MMefftWPcltNP4OOJGSs,I Lost a Friend,sad,spotify:artist:37M5pPGs6V1fchFJSgCguX,FINNEAS,electropop,75,955256,0.453,0.209,11,-11.917,1,0.223,0.587,0.0,0.119,0.216,169.316,4
