"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"","track_uri","track_name","mood","artist_uri","artist_name","genre","popularity","followers","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"spotify:track:7b8s4Z0abQQ4x4jpct4GjR","spotify:track:7b8s4Z0abQQ4x4jpct4GjR","Cissy Strut","happy","spotify:artist:2JRvXPGWiINrnJljNJhG5s","The Meters","afrobeat","56","178194","0.521","0.799","0","-11.993","1","0.097","0.106","0.732","0.332","0.709","175.921","4"
"spotify:track:4F68WqrshWc5aWyJGCumd2","spotify:track:4F68WqrshWc5aWyJGCumd2","Blessed with the Best","happy","spotify:artist:2bToe6WyGvADJftreuXh2K","Lee Fields & The Expressions","afrobeat","55","115358","0.591","0.653","1","-4.708","1","0.0499","0.303","0.000741","0.0709","0.904","161.726","4"
"spotify:track:7gyDV6Y7GmHqQS4KnzI5Zk","spotify:track:7gyDV6Y7GmHqQS4KnzI5Zk","Are You Ready to Love Me?","happy","spotify:artist:6HhV0jtMMK5HYnYgG0xgtz","The War and Treaty","funk","48","36804","0.533","0.776","8","-7.092","1","0.0847","0.151","8.65e-05","0.13","0.697","90.061","4"
"spotify:track:3XcuLPQb1LG13ZJEEa6wUI","spotify:track:3XcuLPQb1LG13ZJEEa6wUI","Build Me Up Buttercup","happy","spotify:artist:4GITZM5LCR2KcdlgEOrNLD","The Foundations","brill building pop","61","59184","0.657","0.423","0","-10.465","1","0.0308","0.361","0.0","0.31","0.842","133.612","4"
"spotify:track:2G2YzndIA6jeWFPBXhUjh5","spotify:track:2G2YzndIA6jeWFPBXhUjh5","Be My Baby","happy","spotify:artist:7CyeXFnOrfC1N6z4naIpgo","The Ronettes","adult standards","77","158216","0.511","0.769","4","-7.032","1","0.042","0.181","0.0","0.0921","0.818","129.657","4"
"spotify:track:3zYQ1KXzqBWRsxIqdVMoYF","spotify:track:3zYQ1KXzqBWRsxIqdVMoYF","Need Your Love","happy","spotify:artist:0CUpzKPDfIVzYqMn47jiV3","Curtis Harding","funk","52","124940","0.713","0.8","7","-5.938","0","0.0349","0.0491","7.96e-05","0.0921","0.814","139.942","4"
"spotify:track:5joZkgTCteYR5SWvSesUSQ","spotify:track:5joZkgTCteYR5SWvSesUSQ","Black Heart (feat. The Dap-Kings)","happy","spotify:artist:6f3R3mqKR3kHp1KBNMUn80","Stealth","na","48","16479","0.852","0.76","1","-4.026","1","0.0849","0.0539","3.08e-05","0.151","0.584","121.672","4"
"spotify:track:2QW3aWIzjEDdHFPZFvOlXX","spotify:track:2QW3aWIzjEDdHFPZFvOlXX","You Send Me - Remastered","happy","spotify:artist:6hnWRPzGGKiapVX1UCdEAC","Sam Cooke","adult standards","70","1105070","0.565","0.286","4","-10.871","0","0.0289","0.883","0.0","0.178","0.487","95.964","4"
"spotify:track:62r1CS9zL1FL5Ilb7hLX7n","spotify:track:62r1CS9zL1FL5Ilb7hLX7n","Take Me to the River","happy","spotify:artist:3dkbV4qihUeMsqN4vBGg93","Al Green","classic soul","68","1373771","0.786","0.418","9","-11.115","1","0.0432","0.218","0.000158","0.134","0.94","119.101","4"
"spotify:track:4RQgqR09VmHn345vRhKQ6T","spotify:track:4RQgqR09VmHn345vRhKQ6T","Sir Duke","happy","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","adult standards","80","4659022","0.576","0.579","6","-9.628","1","0.0769","0.16","0.0","0.0777","0.947","106.978","4"
